Symbol,Start address,End address,Size (byte),Data type,Declaration type,Section,Group,Object File
sendData,0x0000359C,0x0000360B,112,---,---,.text,Program,./QCIOT009_API/rm_qciot009.o
uart_callback_master,0x0000360C,0x0000369B,144,---,---,.text,Program,./QCIOT009_API/rm_qciot009_master.o
setupMaster,0x0000369C,0x00003717,124,---,---,.text,Program,./QCIOT009_API/rm_qciot009_master.o
writeToSlave,0x00003718,0x00003787,112,---,---,.text,Program,./QCIOT009_API/rm_qciot009_master.o
readFromSlave,0x00003788,0x00003867,224,---,---,.text,Program,./QCIOT009_API/rm_qciot009_master.o
memcpy,0x00003868,0x00003881,26,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard\libg_nano.a(lib_a-memcpy-stub.o)
memset,0x00003882,0x00003891,16,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard\libg_nano.a(lib_a-memset.o)
_init,0x000038E4,0x000038E7,4,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.main+fp/hard/crti.o
_fini,0x000038F0,0x000038F3,4,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.main+fp/hard/crti.o
g_external_sw1_cfg,0x000038FC,0x0000390F,20,---,---,.text,Program,./ra_gen/common_data.o
g_external_sw2_cfg,0x00003910,0x00003923,20,---,---,.text,Program,./ra_gen/common_data.o
g_ioport,0x00003924,0x0000392F,12,---,---,.text,Program,./ra_gen/common_data.o
led_control_thread_parameters,0x0000393C,0x0000393F,4,---,---,.text,Program,./ra_gen/led_control_thread.o
g_bsp_pin_cfg,0x00003940,0x00003947,8,---,---,.text,Program,./ra_gen/pin_data.o
g_bsp_pin_cfg_data,0x00003948,0x00003BDF,664,---,---,.text,Program,./ra_gen/pin_data.o
g_uart0,0x00003BEC,0x00003BF7,12,---,---,.text,Program,./ra_gen/uart_control_thread.o
g_uart0_cfg,0x00003BF8,0x00003C17,32,---,---,.text,Program,./ra_gen/uart_control_thread.o
g_uart0_cfg_extend,0x00003C18,0x00003C2B,20,---,---,.text,Program,./ra_gen/uart_control_thread.o
uart_control_thread_parameters,0x00003C2C,0x00003C2F,4,---,---,.text,Program,./ra_gen/uart_control_thread.o
g_interrupt_event_link_select,0x00003C30,0x00003CEF,192,---,---,.text,Program,./ra_gen/vector_data.o
g_uart_on_sci,0x00003DC4,0x00003DE7,36,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
g_ioport_on_ioport,0x00003DE8,0x00003E1B,52,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
ledValuesA,0x20000000,0x20000002,3,---,---,.data,Initialized Data,./src/uart_control_thread_entry.o
ledValuesB,0x20000004,0x20000006,3,---,---,.data,Initialized Data,./src/uart_control_thread_entry.o
g_uart0_baud_setting,0x20000008,0x2000000B,4,---,---,.data,Initialized Data,./ra_gen/uart_control_thread.o
uxTopUsedPriority,0x2000000C,0x2000000F,4,---,---,.data,Initialized Data,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
sw1pressed,0x20000054,0x20000054,1,---,---,.bss,Uninitialized Data,./src/led_control_thread_entry.o
sw2pressed,0x20000055,0x20000055,1,---,---,.bss,Uninitialized Data,./src/led_control_thread_entry.o
switchDirection,0x20000058,0x2000005B,4,---,---,.bss,Uninitialized Data,./src/uart_control_thread_entry.o
g_external_sw1_ctrl,0x2000005C,0x2000006B,16,---,---,.bss,Uninitialized Data,./ra_gen/common_data.o
g_external_sw2_ctrl,0x2000006C,0x2000007B,16,---,---,.bss,Uninitialized Data,./ra_gen/common_data.o
g_ioport_ctrl,0x2000007C,0x20000083,8,---,---,.bss,Uninitialized Data,./ra_gen/common_data.o
g_send_uart_semaphore,0x20000084,0x20000087,4,---,---,.bss,Uninitialized Data,./ra_gen/common_data.o
g_send_uart_semaphore_memory,0x20000088,0x200000CF,72,---,---,.bss,Uninitialized Data,./ra_gen/common_data.o
g_switch_counter_mutex,0x200000D0,0x200000D3,4,---,---,.bss,Uninitialized Data,./ra_gen/common_data.o
g_switch_counter_mutex_memory,0x200000D4,0x2000011B,72,---,---,.bss,Uninitialized Data,./ra_gen/common_data.o
led_control_thread,0x2000011C,0x2000011F,4,---,---,.bss,Uninitialized Data,./ra_gen/led_control_thread.o
g_fsp_common_initialized,0x20000188,0x20000188,1,---,---,.bss,Uninitialized Data,./ra_gen/main.o
g_fsp_common_initialized_semaphore,0x2000018C,0x2000018F,4,---,---,.bss,Uninitialized Data,./ra_gen/main.o
g_fsp_common_initialized_semaphore_memory,0x20000190,0x200001D7,72,---,---,.bss,Uninitialized Data,./ra_gen/main.o
g_fsp_common_thread_count,0x200001D8,0x200001DB,4,---,---,.bss,Uninitialized Data,./ra_gen/main.o
g_uart0_ctrl,0x200006AC,0x200006DB,48,---,---,.bss,Uninitialized Data,./ra_gen/uart_control_thread.o
uart_control_thread,0x200006DC,0x200006DF,4,---,---,.bss,Uninitialized Data,./ra_gen/uart_control_thread.o
g_bsp_group_irq_sources,0x20000750,0x2000078F,64,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/mcu/all/bsp_group_irq.o
g_protect_pfswe_counter,0x20000790,0x20000793,4,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/mcu/all/bsp_io.o
gp_renesas_isr_context,0x20000794,0x20000913,384,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/mcu/all/bsp_irq.o
g_protect_counters,0x20000914,0x2000091B,8,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o
SystemCoreClock,0x2000091C,0x2000091F,4,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/system.o
xQueueRegistry,0x20000920,0x2000096F,80,---,---,.bss,Uninitialized Data,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
pxCurrentTCB,0x20000970,0x20000973,4,---,---,.bss,Uninitialized Data,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
READ_ENABLE_PIN,0x20000B6C,0x20000B6D,2,---,---,.bss,Uninitialized Data,./QCIOT009_API/rm_qciot009.o
g_dest,0x20000B70,0x20000B83,20,---,---,.bss,Uninitialized Data,./QCIOT009_API/rm_qciot009.o
g_out_of_band_index,0x20000B84,0x20000B87,4,---,---,.bss,Uninitialized Data,./QCIOT009_API/rm_qciot009.o
g_out_of_band_received,0x20000B88,0x20000B9B,20,---,---,.bss,Uninitialized Data,./QCIOT009_API/rm_qciot009.o
g_receive_complete,0x20000B9C,0x20000B9F,4,---,---,.bss,Uninitialized Data,./QCIOT009_API/rm_qciot009.o
g_src,0x20000BA0,0x20000BB3,20,---,---,.bss,Uninitialized Data,./QCIOT009_API/rm_qciot009.o
g_transfer_complete,0x20000BB4,0x20000BB7,4,---,---,.bss,Uninitialized Data,./QCIOT009_API/rm_qciot009.o
