Symbol,Start address,End address,Size (byte),Data type,Declaration type,Section,Group,Object File
SystemInit,0x000015D0,0x00001713,324,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/system.o
bsp_init,0x00001714,0x00001717,4,---,---,.text,Program,./ra/board/ra2e1_ek/board_init.o
sendAddr,0x00001718,0x0000178B,116,---,---,.text,Program,./QCIOT009API/rm_qciot009.o
sendData,0x0000178C,0x0000180F,132,---,---,.text,Program,./QCIOT009API/rm_qciot009.o
uart_callback_slave,0x00001810,0x000018E7,216,---,---,.text,Program,./QCIOT009API/rm_qciot009_slave.o
setupSlave,0x000018E8,0x0000198B,164,---,---,.text,Program,./QCIOT009API/rm_qciot009_slave.o
listen,0x0000198C,0x00001B5F,468,---,---,.text,Program,./QCIOT009API/rm_qciot009_slave.o
__muldi3,0x00001B60,---,0,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.base/nofp\libgcc.a(_muldi3.o)
__aeabi_lmul,0x00001B60,0x00001BBB,92,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.base/nofp\libgcc.a(_muldi3.o)
memcpy,0x00001BBC,0x00001BCD,18,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.base/nofp\libg_nano.a(lib_a-memcpy-stub.o)
memset,0x00001BCE,0x00001BDD,16,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.base/nofp\libg_nano.a(lib_a-memset.o)
_init,0x00001C30,0x00001C33,4,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.base/nofp/crti.o
_fini,0x00001C3C,0x00001C3F,4,---,---,.text,Program,c:/users/a5143516/appdata/local/programs/renesas/ra/e2studio_v2023-01_fsp_v4.3.0/toolchains/gcc_arm/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.base/nofp/crti.o
g_ioport,0x00001C48,0x00001C53,12,---,---,.text,Program,./ra_gen/common_data.o
g_uart0,0x00001C54,0x00001C5F,12,---,---,.text,Program,./ra_gen/hal_data.o
g_uart0_cfg,0x00001C60,0x00001C7F,32,---,---,.text,Program,./ra_gen/hal_data.o
g_uart0_cfg_extend,0x00001C80,0x00001C93,20,---,---,.text,Program,./ra_gen/hal_data.o
g_bsp_pin_cfg,0x00001C94,0x00001C9B,8,---,---,.text,Program,./ra_gen/pin_data.o
g_bsp_pin_cfg_data,0x00001C9C,0x00001E0B,368,---,---,.text,Program,./ra_gen/pin_data.o
g_interrupt_event_link_select,0x00001E0C,0x00001E2B,32,---,---,.text,Program,./ra_gen/vector_data.o
g_uart_on_sci,0x00001E2C,0x00001E4F,36,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
g_ioport_on_ioport,0x00001E50,0x00001E83,52,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
g_uart0_baud_setting,0x20004000,0x20004003,4,---,---,.data,Initialized Data,./ra_gen/hal_data.o
ledConfig,0x2000403C,0x2000403E,3,---,---,.bss,Uninitialized Data,./src/demo.o
g_ioport_ctrl,0x20004040,0x20004047,8,---,---,.bss,Uninitialized Data,./ra_gen/common_data.o
g_uart0_ctrl,0x20004048,0x20004077,48,---,---,.bss,Uninitialized Data,./ra_gen/hal_data.o
g_bsp_group_irq_sources,0x20004078,0x200040B7,64,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/mcu/all/bsp_group_irq.o
g_protect_pfswe_counter,0x200040B8,0x200040BB,4,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/mcu/all/bsp_io.o
gp_renesas_isr_context,0x200040BC,0x2000413B,128,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/mcu/all/bsp_irq.o
g_protect_counters,0x2000413C,0x20004143,8,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o
SystemCoreClock,0x20004144,0x20004147,4,---,---,.bss,Uninitialized Data,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/system.o
ADDRESS,0x20004148,0x20004148,1,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
READ_ENABLE_PIN,0x2000414A,0x2000414B,2,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
dataRead,0x2000414C,0x2000414C,1,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
g_dest,0x20004150,0x20004163,20,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
g_out_of_band_index,0x20004164,0x20004167,4,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
g_out_of_band_received,0x20004168,0x2000417B,20,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
g_receive_complete,0x2000417C,0x2000417F,4,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
g_src,0x20004180,0x20004193,20,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
g_transfer_complete,0x20004194,0x20004197,4,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
isListening,0x20004198,0x20004198,1,---,---,.bss,Uninitialized Data,./QCIOT009API/rm_qciot009.o
